dong,gu,groundwater,old,weight
증산동,은평구,3,2,1
진관동,은평구,3,1,1
가회동,종로구,2,3,1
교남동,종로구,3,1,1
무악동,종로구,2,1,1
부암동,종로구,1,3,1
사직동,종로구,2,2,1
삼청동,종로구,2,4,1
숭인제1동,종로구,2,2,1
숭인제2동,종로구,2,1,1
이화동,종로구,2,2,1
종로1·2·3·4가동,종로구,2,3,1
종로5·6가동,종로구,2,4,1
창신제1동,종로구,2,3,1
창신제2동,종로구,2,1,1
창신제3동,종로구,2,4,1
청운효자동,종로구,2,3,1
평창동,종로구,1,3,1
혜화동,종로구,2,1,1
광희동,중구,2,4,1
다산동,중구,2,2,1
동화동,중구,2,1,1
명동,중구,2,3,1
소공동,중구,2,1,1
신당동,중구,2,3,1
약수동,중구,2,1,1
을지로동,중구,2,5,1
장충동,중구,2,1,1
중림동,중구,2,1,1
청구동,중구,2,1,1
필동,중구,2,4,1
황학동,중구,2,1,1
회현동,중구,2,3,1
망우본동,중랑구,3,2,1
망우제3동,중랑구,3,1,1
면목본동,중랑구,4,1,1
면목제2동,중랑구,4,3,1
면목제3·8동,중랑구,3,1,1
면목제4동,중랑구,3,1,1
면목제5동,중랑구,3,1,1
면목제7동,중랑구,3,1,1
묵제1동,중랑구,3,1,1
묵제2동,중랑구,3,1,1
상봉제1동,중랑구,4,1,1
상봉제2동,중랑구,4,1,1
신내1동,중랑구,3,1,1
신내2동,중랑구,3,1,1
중화제1동,중랑구,4,2,1
중화제2동,중랑구,4,2,1
